,Symb,Exch,Y_symb,G_symb,G_URL,Y_URL
66,AD17,LSE,AD17.L,LON:AD17,https://www.google.com/finance?q=LON:AD17,"http://finance.yahoo.com/echarts?s=AD17.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
67,AD20,LSE,AD20.L,LON:AD20,https://www.google.com/finance?q=LON:AD20,"http://finance.yahoo.com/echarts?s=AD20.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
68,ADA,LSE,ADA.L,LON:ADA,https://www.google.com/finance?q=LON:ADA,"http://finance.yahoo.com/echarts?s=ADA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
69,ADGO,LSE,ADGO.L,LON:ADGO,https://www.google.com/finance?q=LON:ADGO,"http://finance.yahoo.com/echarts?s=ADGO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
70,ADL,LSE,ADL.L,LON:ADL,https://www.google.com/finance?q=LON:ADL,"http://finance.yahoo.com/echarts?s=ADL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
71,ADM,LSE,ADM.L,LON:ADM,https://www.google.com/finance?q=LON:ADM,"http://finance.yahoo.com/echarts?s=ADM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
72,ADN,LSE,ADN.L,LON:ADN,https://www.google.com/finance?q=LON:ADN,"http://finance.yahoo.com/echarts?s=ADN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
73,ADT,LSE,ADT.L,LON:ADT,https://www.google.com/finance?q=LON:ADT,"http://finance.yahoo.com/echarts?s=ADT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
74,AE01,LSE,AE01.L,LON:AE01,https://www.google.com/finance?q=LON:AE01,"http://finance.yahoo.com/echarts?s=AE01.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
75,AE08,LSE,AE08.L,LON:AE08,https://www.google.com/finance?q=LON:AE08,"http://finance.yahoo.com/echarts?s=AE08.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
76,AE57,LSE,AE57.L,LON:AE57,https://www.google.com/finance?q=LON:AE57,"http://finance.yahoo.com/echarts?s=AE57.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
77,AEC,LSE,AEC.L,LON:AEC,https://www.google.com/finance?q=LON:AEC,"http://finance.yahoo.com/echarts?s=AEC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
78,AEFS,LSE,AEFS.L,LON:AEFS,https://www.google.com/finance?q=LON:AEFS,"http://finance.yahoo.com/echarts?s=AEFS.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
79,AEG,LSE,AEG.L,LON:AEG,https://www.google.com/finance?q=LON:AEG,"http://finance.yahoo.com/echarts?s=AEG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
